,locality,long,lat
Australia,Melbourne,144.968,-37.8497
USA,Austin,-97.6411,30.1328
Bahrain,Sakhir,50.5106,26.0325
Azerbaijan,Baku,49.8533,40.3725
Spain,Montmeló,2.26111,41.57
Germany,Hockenheim,8.56583,49.3278
Hungary,Budapest,19.2486,47.5789
Brazil,São Paulo,-46.6997,-23.7036
Singapore,Marina Bay,103.864,1.2914
Monaco,Monte-Carlo,7.42056,43.7347
Italy,Monza,9.28111,45.6156
Austria,Spielburg,14.7647,47.2197
France,Le Castellet,5.79167,43.2506
Mexico,Mexico City,-99.0907,19.4042
China,Shanghai,121.22,31.3389
UK,Silverstone,-1.01694,52.0786
Russia,Sochi,39.9578,43.4057
Belgium,Spa,5.97139,50.4372
Japan,Suzuka,136.541,34.8431
Canada,Montreal,-73.5228,45.5
UAE,Abu Dhabi,54.6031,24.4672
